Friday,,"BIC21303:  S8 A
(I-shamsulk)
[I-CISCO-ARAS 2 ]",,,,"BIC21303:  S7 A
(I-shamsulk)
[I-CISCO-ARAS 2 ]",,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
"Footnote: Sections in Merge Slots
12 -  BIC21303 (I-shamsulk) <FSKTM-2BIM> S7 : K, BIC21303 (I-shamsulk) <FSKTM-2BIM> S8 : K, BIC21303 (I-rahmi) <FSKTM-2BIS> S1 : K, BIC21303 (I-rahmi) <FSKTM-2BIS> S2 : K, BIC21303 (I-rahmi)
<FSKTM-3BIS> S1 : K
17 -  BIC21303 (I-zana) <FSKTM-2BIW> S5 : A, BIC21303 (I-zana) <FSKTM-3BIW> S5 : A
20 -  BIC21303 (I-nasar) <FSKTM-2BIP> S3 : K, BIC21303 (I-nasar) <FSKTM-2BIP> S4 : K, BIC21303 (I-nasar) <FSKTM-3BIP> S3 : K
59 -  BIC21303 (I-zana) <FSKTM-2BIW> S5 : K, BIC21303 (I-zana) <FSKTM-3BIW> S5 : K
100 -  BIC21303 (I-rahmi) <FSKTM-2BIS> S1 : A, BIC21303 (I-rahmi) <FSKTM-3BIS> S1 : A
131 -  BIC21303 (I-nasar) <FSKTM-2BIP> S3 : A, BIC21303 (I-nasar) <FSKTM-3BIP> S3 : A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
Monday,,"BIC21404:  S3 K
(I-rabatul)
[I-PERP-BT10-GS]",,,,,,,,,,,,,,,,"BIC21404:  S5 K
(I-xhtay)
[I-PERP-BT5-GS]",,,,,,,,,,REHAT,,,,
,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,"BIC21404:  S9 K
(I-liyap)
[I-PERP-BT6-GS]",,,,,,,,,,,,,,,,"BIC21404:  S7 K
(I-rsyazwani) [I-PERP-BT9-GS]",,,,,,,,,,REHAT,,,,
,,,,,,,28,,,,,,,,,,,,,,,,53,,,,,,,,,
Wednesday,,,,,,,,,,,,"BIC21404:  S5 A
(I-xhtay)
[I-MSK-ARAS 3]",,,,,,"BIC21404:  S1 A
(I-zana)
[I-MFD-ARAS 2]",,,,"BIC21404:  S2 A
(I-zana)
[I-ISYS-ARAS",,,,,,REHAT,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,
Thursday,,"BIC21404:  S7 A
(I-rsyazwani) [I-MRM-ARAS 0]",,,,"BIC21404:  S8 A
(I-rsyazwani) [I-MRM-ARAS 0]",,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
